#Types Before Cut: 11091
#Types After Cut: 9697
#Search Hits: 0
242	13	34.232	сижу
243	13	34.232	спать
244	13	34.232	твои
245	13	34.232	учились
246	28	34.195	обычно
247	20	33.534	другому
248	17	33.227	пошла
249	15	32.642	будешь
250	15	32.642	понял
251	15	32.642	поняла
252	28	32.351	таки
253	34	32.218	голос
254	24	32.201	принципе
255	18	32.046	дом
256	113	31.793	даже
257	12	31.599	берег
258	12	31.599	весело
259	12	31.599	детстве
260	12	31.599	квартиру
261	12	31.599	круто
262	12	31.599	любят
263	12	31.599	поговорить
264	12	31.599	пятьдесят
265	12	31.599	смешно
266	36	31.534	две
267	49	31.523	всегда
268	16	30.822	школа
269	16	30.822	языке
270	20	30.765	дочка
271	21	30.439	хоть
272	21	30.439	язык
273	17	29.729	давайте
274	11	28.966	inan
275	11	28.966	давали
276	11	28.966	девочки
277	11	28.966	девяносто
278	11	28.966	здорово
279	11	28.966	знала
280	11	28.966	кадра
281	11	28.966	классно
282	11	28.966	кхм
283	11	28.966	понимаешь
284	11	28.966	расскажу
285	11	28.966	рассказчик
286	11	28.966	смеётся
287	11	28.966	смотри
288	11	28.966	соседка
289	11	28.966	училась
290	11	28.966	холодно
291	19	28.589	младший
292	26	28.555	самое
293	26	28.555	смысле
294	15	28.432	играть
295	21	28.176	жить
296	156	28.058	или
297	13	27.651	концерт
298	13	27.651	семья
299	13	27.651	ходить
300	13	27.651	честно
301	16	27.430	видео
302	17	26.811	моей
303	18	26.434	понимаю
304	10	26.333	бывают
305	10	26.333	вкус
306	10	26.333	восемьдесят
307	10	26.333	дед
308	10	26.333	дедушка
309	10	26.333	ехать
310	10	26.333	забыл
311	10	26.333	иии
312	10	26.333	картинка
313	10	26.333	кашель
314	10	26.333	нуу
315	10	26.333	озеро
316	10	26.333	пол
317	10	26.333	прикольно
318	10	26.333	ребята
319	10	26.333	своё
320	10	26.333	слушай
321	10	26.333	смешок
322	10	26.333	собака
323	10	26.333	ушёл
324	19	26.222	н
325	19	26.222	слово
326	22	26.197	какую
327	22	26.197	часов
328	14	26.057	собственно
329	27	25.711	моя
330	12	25.172	вдруг
331	12	25.172	делаю
332	12	25.172	купил
333	15	25.151	ж
334	39	24.931	людей
335	16	24.612	читать
336	20	24.154	друг
337	20	24.154	места
338	18	24.151	тему
339	35	24.098	четыре
340	29	23.778	старший
341	13	23.700	какими
342	13	23.700	маленький
343	13	23.700	машина
344	13	23.700	смотреть
345	9	23.699	n
346	9	23.699	ар
347	9	23.699	видишь
348	9	23.699	грустный
349	9	23.699	двенадцать
350	9	23.699	двести
351	9	23.699	женщина
352	9	23.699	кошки
353	9	23.699	папа
354	9	23.699	переехали
355	9	23.699	подожди
356	9	23.699	смесь
357	9	23.699	танцами
358	9	23.699	учителя
359	9	23.699	чай
360	9	23.699	эмм
361	50	23.484	день
362	146	23.234	был
363	27	23.002	каждый
364	14	22.894	d
365	14	22.894	вещи
366	14	22.894	домой
367	14	22.894	мои
368	14	22.894	хотелось
369	11	22.706	квартире
370	36	22.569	одна
371	21	22.553	долго
372	28	22.166	совсем
373	18	22.119	русский
374	17	22.107	кем
375	27	21.760	слова
376	29	21.440	сама
377	12	21.364	нравятся
378	8	21.066	acc
379	8	21.066	komm
380	8	21.066	nom
381	8	21.066	ааa
382	8	21.066	английский
383	8	21.066	брови
384	8	21.066	вертолет
385	8	21.066	говорящийа
386	8	21.066	говорящийб
387	8	21.066	грустно
388	8	21.066	делаешь
389	8	21.066	егэ
390	8	21.066	замечательно
391	8	21.066	звук
392	8	21.066	иду
393	8	21.066	интересного
394	8	21.066	колесико
395	8	21.066	любишь
396	8	21.066	лёва
397	8	21.066	мамой
398	8	21.066	мемы
399	8	21.066	моих
400	8	21.066	надя
401	8	21.066	неудобно
402	8	21.066	никит
403	8	21.066	одиннадцать
404	8	21.066	поехал
405	8	21.066	прихожу
406	8	21.066	смотрел
407	8	21.066	смотрела
408	8	21.066	студентов
409	8	21.066	типо
410	8	21.066	учился
411	8	21.066	учится
412	8	21.066	хе
413	8	21.066	эт
414	30	20.804	чего
415	13	20.662	бывает
416	13	20.662	говорила
417	13	20.662	специально
418	19	20.484	павел
419	14	20.292	надеюсь
420	10	20.255	интересные
421	10	20.255	рассказывала
422	16	20.094	девять
423	27	19.470	ей
424	40	19.389	говорить
425	11	19.051	будто
426	11	19.051	знаете
427	11	19.051	отец
428	11	19.051	пошел
429	19	18.910	хотел
430	153	18.601	еще
431	12	18.459	делали
432	12	18.459	купить
433	12	18.459	семье
434	7	18.433	бабушкой
435	7	18.433	боже
436	7	18.433	буквы
437	7	18.433	двери
438	7	18.433	детство
439	7	18.433	детьми
440	7	18.433	друзьями
441	7	18.433	ездить
442	7	18.433	ехали
443	7	18.433	живёт
444	7	18.433	забыла
445	7	18.433	задание
446	7	18.433	карл
447	7	18.433	квартиры
448	7	18.433	красивый
449	7	18.433	ненавижу
450	7	18.433	нету
451	7	18.433	ноль
452	7	18.433	одни
453	7	18.433	парень
454	7	18.433	понравилась
455	7	18.433	пошёл
456	7	18.433	пытаюсь
457	7	18.433	ребят
458	7	18.433	секунд
459	7	18.433	скажи
460	7	18.433	сорок
461	7	18.433	супер
462	7	18.433	троих
463	7	18.433	троллейбус
464	7	18.433	человечек
465	7	18.433	читаю
466	7	18.433	чё
467	16	18.233	реально
468	16	18.233	уж
469	13	18.178	другую
470	13	18.178	улице
471	9	17.822	брали
472	9	17.822	друзей
473	9	17.822	едем
474	9	17.822	жил
475	9	17.822	институте
476	9	17.822	историю
477	9	17.822	маленькая
478	9	17.822	мое
479	9	17.822	нечего
480	9	17.822	смеется
481	9	17.822	твой
482	9	17.822	твоя
483	17	16.840	разные
484	10	16.767	мной
485	10	16.767	написано
486	78	16.742	больше
487	23	16.625	равно
488	29	16.507	соответственно
489	25	16.486	лучше
490	11	16.290	посмотреть
491	11	16.290	скажем
492	11	16.290	считаю
493	19	16.140	говоря
494	12	16.101	друзья
495	13	16.082	языка
496	6	15.800	distinct
497	6	15.800	onion
498	6	15.800	part
499	6	15.800	автобус
500	6	15.800	автобусе
501	6	15.800	ам
502	6	15.800	антифриз
503	6	15.800	бабуля
504	6	15.800	бабушки
505	6	15.800	бешбармак
506	6	15.800	бутово
507	6	15.800	вау
508	6	15.800	верно
509	6	15.800	волосы
510	6	15.800	восемнадцать
511	6	15.800	выпускной
512	6	15.800	вышла
513	6	15.800	гончар
514	6	15.800	готовился
515	6	15.800	жигули
516	6	15.800	загрузили
517	6	15.800	запомнила
518	6	15.800	играли
519	6	15.800	идёт
520	6	15.800	книги
521	6	15.800	колесо
522	6	15.800	коллектив
523	6	15.800	кормила
524	6	15.800	красиво
525	6	15.800	культура
526	6	15.800	лагере
527	6	15.800	лингвистике
528	6	15.800	литературу
529	6	15.800	лук
530	6	15.800	любил
531	6	15.800	любимый
532	6	15.800	математике
533	6	15.800	мгм
534	6	15.800	мем
535	6	15.800	молодец
536	6	15.800	мужик
537	6	15.800	немец
538	6	15.800	ногой
539	6	15.800	обед
540	6	15.800	орешки
541	6	15.800	погрей
542	6	15.800	подумала
543	6	15.800	покупайте
544	6	15.800	полу
545	6	15.800	польский
546	6	15.800	понравился
547	6	15.800	поступил
548	6	15.800	преподаватели
549	6	15.800	причём
550	6	15.800	пятёрка
551	6	15.800	саш
552	6	15.800	семьдесят
553	6	15.800	слышно
554	6	15.800	снимали
555	6	15.800	снимать
556	6	15.800	спал
557	6	15.800	спрашивают
558	6	15.800	спросить
559	6	15.800	студенты
560	6	15.800	сынок
561	6	15.800	убирай
562	6	15.800	учителей
563	6	15.800	учителем
564	6	15.800	худи
565	6	15.800	чувак
566	6	15.800	шёл
567	6	15.800	щас
568	6	15.800	этаж
569	6	15.800	эх
570	21	15.757	виктор
571	64	15.614	тогда
572	17	15.412	заниматься
573	8	15.411	дверь
574	8	15.411	интересный
575	8	15.411	паре
576	8	15.411	работала
577	8	15.411	родителей
578	8	15.411	умер
579	355	15.361	но
580	16	15.078	естественно
581	24	15.046	понятно
582	9	14.516	берут
583	9	14.516	какого
584	9	14.516	машине
585	9	14.516	можете
586	9	14.516	половиной
587	9	14.516	тяжело
588	9	14.516	часа
589	18	14.506	е
590	73	14.324	поэтому
591	13	14.278	завтра
592	13	14.278	минус
593	13	14.278	спокойно
594	20	14.222	каких
595	10	14.159	пришла
596	22	14.113	дальше
597	11	14.065	рядом
598	50	13.757	него
599	16	13.726	наша
600	16	13.726	совершенно
601	35	13.487	себя
602	26	13.385	плюс
603	15	13.360	вас
604	15	13.360	метро
605	18	13.346	каким
606	18	13.346	разных
607	18	13.346	сначала
608	24	13.245	чуть
609	5	13.166	num
610	5	13.166	арахис
611	5	13.166	бабушку
612	5	13.166	баллов
613	5	13.166	венера
614	5	13.166	вернее
615	5	13.166	видела
616	5	13.166	вкусный
617	5	13.166	вложил
618	5	13.166	вырезать
619	5	13.166	выставках
620	5	13.166	вышло
621	5	13.166	гешу
622	5	13.166	голову
623	5	13.166	горбачёв
624	5	13.166	гости
625	5	13.166	грязь
626	5	13.166	гэкаю
627	5	13.166	двадцати
628	5	13.166	делаем
629	5	13.166	доехали
630	5	13.166	ездила
631	5	13.166	ездит
632	5	13.166	ест
633	5	13.166	жестко
634	5	13.166	жесть
635	5	13.166	живу
636	5	13.166	жила
637	5	13.166	зашли
638	5	13.166	идешь
639	5	13.166	ии
640	5	13.166	ильямихайлович
641	5	13.166	имею
642	5	13.166	инопланетян
643	5	13.166	итак
644	5	13.166	камеру
645	5	13.166	каракатицах
646	5	13.166	картинки
